"","Daniorerio","Campylomormyruscompressirostris"
"2","LOC110438571","maker-ptg001507l-snap-gene-1.86-mRNA-1"
"3","LOC110439139","maker-ptg001246l-augustus-gene-11.27-mRNA-1"
"4","LOC100330916","maker-ptg000028l-augustus-gene-116.0-mRNA-1"
"5","rpl24","maker-ptg000930l-augustus-gene-4.207-mRNA-1"
"6","glrba","snap_masked-ptg002179l-processed-gene-1.70-mRNA-1"
"7","cep97","maker-ptg000970l-snap-gene-1.9-mRNA-1"
"8","nfkbiz","maker-ptg000930l-augustus-gene-4.179-mRNA-1"
"11","slc25a4","maker-ptg001507l-augustus-gene-1.241-mRNA-1"
"12","si_dkey-22o12.2","maker-ptg000308l-snap-gene-4.60-mRNA-1"
"13","eed","maker-ptg000970l-augustus-gene-2.117-mRNA-1"
"18","pnpla4","maker-ptg000184l-snap-gene-10.23-mRNA-1"
"20","hikeshi","maker-ptg000970l-snap-gene-1.16-mRNA-1"
"23","si_dkey-117m1.4","maker-ptg000707l-snap-gene-6.49-mRNA-1"
"26","ildr2","maker-ptg000930l-snap-gene-4.86-mRNA-1"
"34","atp11a","maker-ptg000032l-snap-gene-12.8-mRNA-1"
"35","dusp27","maker-ptg000149l-augustus-gene-2.126-mRNA-1"
"41","wdr19","snap_masked-ptg000573l-processed-gene-6.135-mRNA-1"
"45","vps37a","maker-ptg000707l-snap-gene-4.65-mRNA-1"
"46","creg1","maker-ptg001524l-snap-gene-2.14-mRNA-1"
"50","setdb2","snap_masked-ptg001524l-processed-gene-2.101-mRNA-1"
"53","cpe","maker-ptg000111l-snap-gene-4.60-mRNA-1"
"55","mtmr7b","snap_masked-ptg000707l-processed-gene-3.22-mRNA-1"
"57","prrg1","maker-ptg000465l-snap-gene-13.21-mRNA-1"
"58","ncapd3","maker-ptg000838l-snap-gene-3.143-mRNA-1"
"60","f10","maker-ptg001524l-augustus-gene-0.68-mRNA-1"
"61","prozb","snap_masked-ptg001524l-processed-gene-1.65-mRNA-1"
"62","pcid2","maker-ptg001524l-snap-gene-2.21-mRNA-1"
"63","cul4a","maker-ptg001524l-augustus-gene-1.37-mRNA-1"
"67","adamtsl7","maker-ptg001246l-snap-gene-7.6-mRNA-1"
"69","polr1e","snap_masked-ptg002632l-processed-gene-3.158-mRNA-1"
"72","qdprb.1","maker-ptg000211l-snap-gene-1.5-mRNA-1"
"74","med28","maker-ptg000211l-augustus-gene-0.20-mRNA-1"
"75","marchf4a","maker-ptg000308l-augustus-gene-4.144-mRNA-1"
"76","tmem144a","maker-ptg001962l-augustus-gene-0.62-mRNA-1"
"78","fat1a","maker-ptg000707l-snap-gene-4.42-mRNA-1"
"79","adprhl1","maker-ptg001524l-snap-gene-2.26-mRNA-1"
"80","haspin","maker-ptg000211l-snap-gene-1.0-mRNA-1"
"82","si_ch211-14k19.8","maker-ptg000431l-snap-gene-1.8-mRNA-1"
"84","dcun1d2b","maker-ptg001524l-augustus-gene-2.159-mRNA-1"
"85","tmco3","maker-ptg001524l-augustus-gene-1.41-mRNA-1"
"89","tfdp1a","maker-ptg000149l-snap-gene-2.197-mRNA-1"
"91","ndufab1a","maker-ptg002048l-snap-gene-0.1-mRNA-1"
"92","grk1a","maker-ptg001524l-augustus-gene-1.47-mRNA-1"
"93","mettl14","maker-ptg000211l-augustus-gene-3.34-mRNA-1"
"94","klf3","maker-ptg000446l-snap-gene-0.15-mRNA-1"
"95","prss12","snap_masked-ptg000211l-processed-gene-3.64-mRNA-1"
